,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
453,UNP,UNH,UNH,UIS,UN,UIS,UN,UIS,UIS,TXT,TXN,UNM,UNH,TXN,TXN,UNH,UNP,UNP,UPS,UNM,UAA,UAL,UAA,UA,UAL,UDR,TXT,TXN
454,USB,UNM,UNM,UK,UNH,UK,UNH,UNH,UNH,TXU,TXT,UNP,UNM,TXT,TXT,UNM,UPS,UPS,URBN,UNP,UAL,UDR,UAL,UAA,UDR,UHS,TYL,TXT
455,USBC,UNP,UNP,UMG,UNM,UN,UNM,UNM,UNM,UCL,TXU,UPS,UNP,UNH,UNH,UNP,URBN,URBN,USB,UPS,UHS,UHS,UDR,UAL,UHS,ULTA,UA,TYL
456,USH,UPR,UPR,UN,UNP,UNH,UNP,UNP,UNP,UIS,UIS,USB,UPS,UNM,UNM,UPS,USB,USB,UTX,URBN,UNH,ULTA,UHS,UDR,ULTA,UNH,UAA,UAL
457,USHC,USB,USB,UNH,UPC,UNM,UPC,UPC,UPC,UNH,UNH,UST,USB,UNP,UNP,URBN,UTX,UTX,V,URI,UNM,UNH,ULTA,UHS,UNH,UNM,UAL,UDR
458,USS,USBC,USS,UNM,UPR,UNP,USB,UPS,UPS,UNM,UNM,UTX,UST,UPS,UPS,USB,V,V,VAR,USB,UNP,UNM,UNH,ULTA,UNM,UNP,UDR,UHS
459,UST,USH,UST,UNP,USB,UPC,UST,USB,USB,UNP,UNP,UVN,UTX,USB,USB,UTX,VAR,VAR,VFC,UTX,UPS,UNP,UNM,UNH,UNP,UPS,UHS,ULTA
460,USW,USS,USW,UPC,UST,USB,UTX,UST,UST,UPS,UPS,VFC,VAR,UST,UTX,V,VFC,VFC,VIAB,V,URBN,UPS,UNP,UNM,UPS,URI,ULTA,UNH
461,UTX,UST,UTX,UPR,USW,UST,UVN,UTX,UTX,USB,USB,VIAB,VFC,UTX,V,VAR,VIAB,VIAB,VLO,VAR,URI,URBN,UPS,UNP,URI,USB,UNH,UNP
462,VAT,USW,VFC,USB,UTX,UTX,VFC,UVN,UVN,UST,UST,VIAV,VIAB,VAR,VAR,VFC,VIAV,VIAV,VMC,VFC,USB,URI,URI,UPS,USB,V,UNP,UPS
463,VFC,UTX,VO,UST,VFC,VFC,VIAV,VFC,VFC,UTX,UTX,VLO,VIAV,VFC,VFC,VIAB,VLO,VLO,VNO,VIAB,UTX,USB,USB,URI,UTX,VAR,UPS,URI
464,VO,VFC,VZ,USW,VMC,VIAV,VMC,VIAV,VIAV,UVN,UVN,VMC,VLO,VIAB,VIAB,VIAV,VMC,VMC,VRSN,VLO,V,UTX,UTX,USB,V,VFC,URI,USB
465,VZ,VO,WAI,UTX,VO,VMC,VRTS,VMC,VMC,VFC,VFC,VNO,VMC,VIAV,VIAV,VLO,VNO,VNO,VRTX,VMC,VAR,V,V,UTX,VAR,VIAC,USB,V
466,WAI,VZ,WAMUQ,VFC,VZ,VRTS,VSTNQ,VRTS,VRTS,VIAV,VIAB,VRSN,VNO,VLO,VLO,VMC,VRSN,VRSN,VTR,VNO,VFC,VAR,VAR,V,VFC,VLO,V,VFC
467,WB,WAI,WB,VO,WAMUQ,VSTNQ,VTSS,VSTNQ,VSTNQ,VLO,VIAV,VZ,VRSN,VMC,VMC,VNO,VTR,VTR,VZ,VRSN,VIAB,VFC,VFC,VAR,VIAC,VMC,VFC,VICI
468,WBA,WB,WBA,VZ,WB,VTSS,VZ,VZ,VZ,VMC,VLO,WAMUQ,VZ,VNO,VNO,VRSN,VZ,VZ,WAT,VRTX,VLO,VIAB,VIAB,VFC,VLO,VNO,VIAC,VLO
469,WEN,WBA,WCOEQ,WAMUQ,WBA,VZ,WAMUQ,WAMUQ,WAMUQ,VRTS,VMC,WAT,WAMUQ,VRSN,VRSN,VTR,WAT,WAT,WBA,VTR,VMC,VLO,VLO,VIAB,VMC,VNT,VLO,VMC
